ID,Files ,Group
HT534ant,MA534ant_abundance.tsv,Antennae
HT534BL,MA534BL_abundance.tsv,Back legs
HT535ant,MA535ant_abundance.tsv,Antennae
HT535BL,MA535BL_abundance.tsv,Back legs
HT536ant,MA536ant_abundance.tsv,Antennae
HT536BL,MA536BL_abundance.tsv,Back legs
HT543ant,MA543ant_abundance.tsv,Antennae
HT543BL,MA543BL_abundance.tsv,Back legs
HT562ant,MA562ant_abundance.tsv,Antennae
HT562BL,MA562BL_abundance.tsv,Back legs
HT627ant,MA627ant_abundance.tsv,Antennae
HT627BL,MA627BL_abundance.tsv,Back legs
HT672ant,MA672ant_abundance.tsv,Antennae
HT672BL,MA672BL_abundance.tsv,Back legs
