target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	1996.24	0	0
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	466.394	6.70461	0.486
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1719.24	34.7675	0.683681
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	468.394	7.52785	0.543345
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1546.24	0	0
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1183.24	2	0.0571444
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	678.294	3	0.149527
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	835.238	1.4782	0.0598328
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1008.24	2	0.0670629
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	696.257	0	0
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1008.24	2	0.0670629
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2196.24	7	0.107754
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6032.24	0	0
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6124.24	0	0
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5546.24	197.647	1.20478
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5547.24	0	0
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6067.24	0	0
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	997.238	1	0.0339013
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	263.895	0	0
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1707.24	11.384	0.225433
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	796.238	4.5	0.191067
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	409.441	1	0.0825703
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2275.24	87.8885	1.30593
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2377.24	2.13796	0.0304048
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	964.238	0	0
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	640.312	5.38622	0.284386
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1375.24	5.61378	0.138004
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	259.909	0	0
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1427.24	0	0
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1374.24	0	0
lcl|NW_022170249.1_mrna_XM_031471975.1_31	1592	1329.24	0	0
lcl|NW_022170249.1_mrna_XM_031471971.1_32	1437	1174.24	0	0
lcl|NW_022170249.1_mrna_XM_031473644.1_33	1147	884.238	0	0
lcl|NW_022170249.1_mrna_XM_031471566.1_34	852	589.328	3.79048	0.217447
lcl|NW_022170249.1_mrna_XM_031471572.1_35	1598	1335.24	0	0
lcl|NW_022170249.1_ncrna_XR_004142950.1_36	1691	1428.24	137	3.24291
lcl|NW_022170249.1_ncrna_XR_004142949.1_37	472	210.48	0	0
lcl|NW_022170249.1_mrna_XM_031472257.1_38	1385	1122.24	0	0
lcl|NW_022170249.1_mrna_XM_031471594.1_39	1881	1618.24	0	0
lcl|NW_022170249.1_mrna_XM_031473677.1_40	2026	1763.24	0	0
lcl|NW_022170249.1_mrna_XM_031473678.1_41	1965	1702.24	0	0
lcl|NW_022170249.1_mrna_XM_031473676.1_42	1904	1641.24	0	0
lcl|NW_022170249.1_mrna_XM_031473674.1_43	1907	1644.24	0	0
lcl|NW_022170249.1_mrna_XM_031471707.1_44	979	716.238	0	0
lcl|NW_022170249.1_mrna_XM_031473550.1_45	947	684.294	0	0
lcl|NW_022170249.1_miscrna_XR_004143193.1_46	592	329.636	0	0
lcl|NW_022170249.1_mrna_XM_031473076.1_47	1604	1341.24	6	0.151238
lcl|NW_022170249.1_mrna_XM_031482721.1_48	2395	2132.24	11	0.17441
lcl|NW_022170249.1_mrna_XM_031482710.1_49	1491	1228.24	0	0
lcl|NW_022170249.1_mrna_XM_031483342.1_50	1697	1434.24	0	0
lcl|NW_022170249.1_miscrna_XR_004142972.1_51	1140	877.238	0	0
lcl|NW_022170249.1_mrna_XM_031472352.1_52	1340	1077.24	108.052	3.39106
lcl|NW_022170249.1_mrna_XM_031472974.1_53	1790	1527.24	0	0
lcl|NW_022170249.1_mrna_XM_031472973.1_54	1790	1527.24	0	0
lcl|NW_022170249.1_mrna_XM_031472972.1_55	1848	1585.24	154.551	3.29605
lcl|NW_022170249.1_mrna_XM_031471734.1_56	1128	865.238	0	0
lcl|NW_022170249.1_mrna_XM_031485441.1_57	2638	2375.24	0	0
lcl|NW_022170249.1_mrna_XM_031485370.1_58	2165	1902.24	0	0
lcl|NW_022170249.1_ncrna_XR_004143519.1_59	2097	1834.24	7	0.12902
lcl|NW_022170249.1_mrna_XM_031472433.1_60	1077	814.238	0.0175894	0.000730323
lcl|NW_022170249.1_mrna_XM_031472430.1_61	1329	1066.24	0	0
lcl|NW_022170249.1_mrna_XM_031472431.1_62	1572	1309.24	0	0
lcl|NW_022170249.1_mrna_XM_031472432.1_63	1543	1280.24	0	0
lcl|NW_022170249.1_mrna_XM_031472429.1_64	1439	1176.24	0	0
lcl|NW_022170249.1_mrna_XM_031483322.1_65	1203	940.238	0	0
lcl|NW_022170249.1_mrna_XM_031483310.1_66	1271	1008.24	0	0
lcl|NW_022170249.1_mrna_XM_031483302.1_67	1329	1066.24	0	0
lcl|NW_022170249.1_mrna_XM_031472957.1_68	1992	1729.24	5	0.0977532
lcl|NW_022170249.1_mrna_XM_031482493.1_69	2355	2092.24	218.353	3.52828
lcl|NW_022170249.1_ncrna_XR_004142811.1_70	3191	2928.24	8	0.0923633
lcl|NW_022170249.1_ncrna_XR_004142812.1_71	512	250.005	138	18.6615
lcl|NW_022170249.1_mrna_XM_031473771.1_72	2087	1824.24	25	0.463313
lcl|NW_022170249.1_mrna_XM_031471848.1_73	2448	2185.24	0	0
lcl|NW_022170249.1_mrna_XM_031493798.1_74	1328	1065.24	2.46666	0.0782849
lcl|NW_022170249.1_mrna_XM_031493828.1_75	1868	1605.24	2.63431	0.0554808
lcl|NW_022170249.1_mrna_XM_031493822.1_76	1068	805.238	0	0
lcl|NW_022170249.1_mrna_XM_031493812.1_77	1104	841.238	0	0
lcl|NW_022170249.1_mrna_XM_031493841.1_78	966	703.257	3	0.144219
lcl|NW_022170249.1_ncrna_XR_004146334.1_79	650	387.485	0	0
lcl|NW_022170249.1_mrna_XM_031500890.1_80	2052	1789.24	0	0
lcl|NW_022170249.1_mrna_XM_031500882.1_81	2103	1840.24	29.5636	0.543124
lcl|NW_022170249.1_ncrna_XR_004147160.1_82	1309	1046.24	0	0
lcl|NW_022170249.1_mrna_XM_031472077.1_83	782	519.342	5	0.325486
lcl|NW_022170249.1_mrna_XM_031472621.1_84	1660	1397.24	0	0
lcl|NW_022170249.1_mrna_XM_031472623.1_85	2119	1856.24	0	0
lcl|NW_022170249.1_mrna_XM_031472622.1_86	2043	1780.24	0	0
lcl|NW_022170249.1_ncrna_XR_004143263.1_87	293	57.0665	1	0.592426
lcl|NW_022170249.1_mrna_XM_031483208.1_88	1543	1280.24	12	0.316888
