target_id	length	eff_length	est_counts	tpm
lcl|NW_022170249.1_mrna_XM_031489100.1_1	2259	2023.82	3.22425	0.0461417
lcl|NW_022170249.1_mrna_XM_031472232.1_2	729	493.901	4.087	0.239663
lcl|NW_022170249.1_mrna_XM_031472231.1_3	1982	1746.82	20.913	0.34674
lcl|NW_022170249.1_mrna_XM_031472233.1_4	731	495.901	7	0.408827
lcl|NW_022170249.1_mrna_XM_031471402.1_5	1809	1573.82	1.46419	0.026945
lcl|NW_022170249.1_mrna_XM_031471404.1_6	1446	1210.82	0	0
lcl|NW_022170249.1_mrna_XM_031471425.1_7	941	705.858	4	0.164127
lcl|NW_022170249.1_mrna_XM_031471462.1_8	1098	862.822	1.48418	0.0498197
lcl|NW_022170249.1_mrna_XM_031473477.1_9	1271	1035.82	4	0.111844
lcl|NW_022170249.1_mrna_XM_031473850.1_10	959	723.84	0	0
lcl|NW_022170249.1_mrna_XM_031473849.1_11	1271	1035.82	4	0.111844
lcl|NW_022170249.1_mrna_XM_031472861.1_12	2459	2223.82	2.5	0.0325594
lcl|NW_022170249.1_miscrna_XR_004146328.1_13	6295	6059.82	0	0
lcl|NW_022170249.1_mrna_XM_031493644.1_14	6387	6151.82	0	0
lcl|NW_022170249.1_mrna_XM_031493651.1_15	5809	5573.82	8.5785	0.0445754
lcl|NW_022170249.1_mrna_XM_031493662.1_16	5810	5574.82	0	0
lcl|NW_022170249.1_miscrna_XR_004146327.1_17	6330	6094.82	0	0
lcl|NW_022170249.1_mrna_XM_031493676.1_18	1260	1024.82	9.99991	0.282608
lcl|NW_022170249.1_mrna_XM_031493686.1_19	526	291.106	0	0
lcl|NW_022170249.1_ncrna_XR_004146330.1_20	1970	1734.82	14.9232	0.24914
lcl|NW_022170249.1_mrna_XM_031471528.1_21	1059	823.822	3.5	0.123047
lcl|NW_022170249.1_ncrna_XR_004143061.1_22	672	436.97	9	0.596524
lcl|NW_022170249.1_mrna_XM_031471765.1_23	2538	2302.82	116.168	1.46104
lcl|NW_022170249.1_mrna_XM_031471764.1_24	2640	2404.82	1.43151	0.0172405
lcl|NW_022170249.1_mrna_XM_031473950.1_25	1227	991.822	0	0
lcl|NW_022170249.1_mrna_XM_031471977.1_26	903	667.858	0	0
lcl|NW_022170249.1_mrna_XM_031471976.1_27	1638	1402.82	32	0.660669
lcl|NW_022170249.1_mrna_XM_031471556.1_28	522	287.106	1	0.100877
lcl|NW_022170249.1_mrna_XM_031471973.1_29	1690	1454.82	9.17029	0.182562
lcl|NW_022170249.1_mrna_XM_031471974.1_30	1637	1401.82	0	0
lcl|NW_022170249.1_mrna_XM_031471975.1_31	1592	1356.82	0	0
lcl|NW_022170249.1_mrna_XM_031471971.1_32	1437	1201.82	0	0
lcl|NW_022170249.1_mrna_XM_031473644.1_33	1147	911.822	0.54966	0.0174591
lcl|NW_022170249.1_mrna_XM_031471566.1_34	852	616.858	21.1497	0.993016
lcl|NW_022170249.1_mrna_XM_031471572.1_35	1598	1362.82	0	0
lcl|NW_022170249.1_ncrna_XR_004142950.1_36	1691	1455.82	36	0.716194
lcl|NW_022170249.1_ncrna_XR_004142949.1_37	472	237.35	2	0.244049
lcl|NW_022170249.1_mrna_XM_031472257.1_38	1385	1149.82	0	0
lcl|NW_022170249.1_mrna_XM_031471594.1_39	1881	1645.82	2.14663	0.0377756
lcl|NW_022170249.1_mrna_XM_031473677.1_40	2026	1790.82	0	0
lcl|NW_022170249.1_mrna_XM_031473678.1_41	1965	1729.82	0	0
lcl|NW_022170249.1_mrna_XM_031473676.1_42	1904	1668.82	0	0
lcl|NW_022170249.1_mrna_XM_031473674.1_43	1907	1671.82	0	0
lcl|NW_022170249.1_mrna_XM_031471707.1_44	979	743.822	0	0
lcl|NW_022170249.1_mrna_XM_031473550.1_45	947	711.858	1.82136e-05	7.41034e-07
lcl|NW_022170249.1_miscrna_XR_004143193.1_46	592	357.02	1.92266	0.155972
lcl|NW_022170249.1_mrna_XM_031473076.1_47	1604	1368.82	9	0.190429
lcl|NW_022170249.1_mrna_XM_031482721.1_48	2395	2159.82	5.78008	0.077509
lcl|NW_022170249.1_mrna_XM_031482710.1_49	1491	1255.82	12.4339	0.286757
lcl|NW_022170249.1_mrna_XM_031483342.1_50	1697	1461.82	0	0
lcl|NW_022170249.1_miscrna_XR_004142972.1_51	1140	904.822	0	0
lcl|NW_022170249.1_mrna_XM_031472352.1_52	1340	1104.82	104.9	2.74991
lcl|NW_022170249.1_mrna_XM_031472974.1_53	1790	1554.82	0	0
lcl|NW_022170249.1_mrna_XM_031472973.1_54	1790	1554.82	0	0
lcl|NW_022170249.1_mrna_XM_031472972.1_55	1848	1612.82	81.4835	1.46325
lcl|NW_022170249.1_mrna_XM_031471734.1_56	1128	892.822	0	0
lcl|NW_022170249.1_mrna_XM_031485441.1_57	2638	2402.82	0	0
lcl|NW_022170249.1_mrna_XM_031485370.1_58	2165	1929.82	7.34956	0.110301
lcl|NW_022170249.1_ncrna_XR_004143519.1_59	2097	1861.82	5	0.0777801
lcl|NW_022170249.1_mrna_XM_031472433.1_60	1077	841.822	0.018316	0.000630156
lcl|NW_022170249.1_mrna_XM_031472430.1_61	1329	1093.82	0	0
lcl|NW_022170249.1_mrna_XM_031472431.1_62	1572	1336.82	0	0
lcl|NW_022170249.1_mrna_XM_031472432.1_63	1543	1307.82	0	0
lcl|NW_022170249.1_mrna_XM_031472429.1_64	1439	1203.82	0	0
lcl|NW_022170249.1_mrna_XM_031483322.1_65	1203	967.822	0.0115717	0.00034629
lcl|NW_022170249.1_mrna_XM_031483310.1_66	1271	1035.82	2.39592	0.066992
lcl|NW_022170249.1_mrna_XM_031483302.1_67	1329	1093.82	0	0
lcl|NW_022170249.1_mrna_XM_031472957.1_68	1992	1756.82	6	0.0989145
lcl|NW_022170249.1_mrna_XM_031482493.1_69	2355	2119.82	107.037	1.46242
lcl|NW_022170249.1_ncrna_XR_004142811.1_70	3191	2955.82	11	0.107783
